Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date,Date,USD_KES_Rate,CBR_Rate,Remittance_M_USD,CPI_Index
091 Bed Apartment with Swimming Pool at Westlands1,6100000,1 bedroom apartment for sale in Westlands,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Arwings Kodh,6500000,Lavington,1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
0111 Bed Apartment with Swimming Pool at Westlands,5900000,1 bedroom apartment for sale in Westlands,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Mtito And,9700000,Kilimani,2.0,2.0,94,2026-05-26,2026-05-26,129.532839,10,,
061 Bed Apartment with Swimming Pool at Kindaruma ,6100000,Kilimani,1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with En Suite at Peponi Road1 B,6100000,"Westlands Area, Westlands",1.0,1.0,52,2026-05-26,2026-05-26,129.532839,10,,
092 Bed Apartment with Swimming Pool at Chania Ave,10800000,Kilimani,2.0,2.0,104,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Chania Avenu,10800000,Kilimani,2.0,2.0,104,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with Swimming Pool at Durham Ro,9500000,Kileleshwa,2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0123 Bed Apartment with Swimming Pool at Kirawa Ro,15000000,"Kitisuru, Westlands",3.0,,,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with Swimming Pool at Off Nyang,18500000,Kilimani,3.0,3.0,163,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with Swimming Pool at Off Nyangumi,18500000,Kilimani,3.0,3.0,163,2026-05-26,2026-05-26,129.532839,10,,
074 Bed Apartment with Swimming Pool at 5Th Parkla,19500000,"Parklands, Westlands",45.0,,245,2026-05-26,2026-05-26,129.532839,10,,
0192 Bed Apartment with Swimming Pool at Vihiga Ro,15700000,Kileleshwa,2.0,2.0,135,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Vihiga Ro,7800000,Kileleshwa,1.0,1.0,68,2026-05-26,2026-05-26,129.532839,10,,
0163 Bed Apartment with En Suite at Brookside Gard,11200000,3 bedroom apartment for sale in Westlands,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with En Suite at Muthangari Dri,13140000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
081 Bed Apartment with Swimming Pool at Muthangari,8700000,1 bedroom apartment for sale in Westlands,1.0,1.0,7428,2026-05-26,2026-05-26,129.532839,10,,
0113 Bed Apartment with En Suite at Westlands Area,11500000,3 bedroom apartment for sale in Westlands,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with En Suite at Westlands Area3 B,11500000,3 bedroom apartment for sale in Westlands,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0153 Bed Apartment with En Suite at Westlands Area,11000000,3 bedroom apartment for sale in Westlands,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0101 Bed Apartment with Swimming Pool at Westlands,6350000,1 bedroom apartment for sale in Westlands,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Westlands1 B,6350000,1 bedroom apartment for sale in Westlands,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Mtito Andei ,9700000,Kilimani,2.0,2.0,94,2026-05-26,2026-05-26,129.532839,10,,
0103 Bed Apartment with Borehole at Mogotio Rd3 Be,16500000,"Westlands Area, Westlands",3.0,,,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite at Ndemi Road2 Be,12000000,Kilimani,2.0,2.0,96,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment in Lavington2 Bed Apartment in ,11500000,Lavington,2.0,,,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Kirichwa ,5100000,Kilimani,1.0,1.0,53,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Riara Road2 Be,13500000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Eldama Ra,9000000,"Westlands Area, Westlands",1.0,1.0,78,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Mogotio R,8800000,"Westlands Area, Westlands",1.0,1.0,69,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with Swimming Pool at Kilimani ,10100000,Kilimani,2.0,2.0,99,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Kilimani Rd2,10100000,Kilimani,2.0,2.0,99,2026-05-26,2026-05-26,129.532839,10,,
0191 Bed Apartment with Swimming Pool at Peponi Ro,6100000,"Westlands Area, Westlands",1.0,1.0,52,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Peponi Ro,5000000,"Westlands Area, Westlands",1.0,1.0,43,2026-05-26,2026-05-26,129.532839,10,,
0112 Bed Apartment with Swimming Pool at Riverside,12700000,"Riverside, Westlands",2.0,2.0,109,2026-05-26,2026-05-26,129.532839,10,,
0111 Bed Apartment with Swimming Pool at Riverside,7900000,"Riverside, Westlands",1.0,1.0,66,2026-05-26,2026-05-26,129.532839,10,,
020Studio Apartment with En Suite in Westlands Are,6500000,Studio Apartment with En Suite in Westlands Area,,1.0,49...,2026-05-26,2026-05-26,129.532839,10,,
0193 Bed Apartment with En Suite in Westlands Area,13500000,2 bedroom apartment for sale in Lavington,2.0,2.0,380,2026-05-26,2026-05-26,129.532839,10,,
013Studio Apartment with En Suite in RirutaStudio ,2700000,Nairobi,,1.0,25,2026-05-26,2026-05-26,129.532839,10,,
Studio Apartment with En Suite in RirutaStudio Apa,2700000,Nairobi,,1.0,25,2026-05-26,2026-05-26,129.532839,10,,
083 Bed Apartment with En Suite in Brookside3 Bed ,20200000,"Brookside, Westlands",3.0,4.0,219,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with En Suite in Brookside3 Bed Ap,20200000,"Brookside, Westlands",3.0,4.0,219,2026-05-26,2026-05-26,129.532839,10,,
0191 Bed Apartment with En Suite in Riverside1 Bed,10140000,"Riverside, Westlands",1.0,2.0,82,2026-05-26,2026-05-26,129.532839,10,,
0102 Bed Apartment with En Suite at Muthangari Dri,13650000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
072 Bed Apartment with En Suite at Lavington2 Bed ,15500000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with Swimming Pool at Kirichwa ,7800000,Kilimani,2.0,2.0,81,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with Swimming Pool at Mtito And,5900000,Kilimani,1.0,1.0,53,2026-05-26,2026-05-26,129.532839,10,,
091 Bed Apartment with Swimming Pool at Chania Ave,6500000,Kilimani,1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Upper Hill2 ,10900000,Kilimani,2.0,2.0,113,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with Swimming Pool at Muthangar,9100000,"Westlands Area, Westlands",1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
0173 Bed Apartment with Swimming Pool at Riara Roa,22000000,Lavington,3.0,3.0,184,2026-05-26,2026-05-26,129.532839,10,,
0171 Bed Apartment with Swimming Pool at Riara Roa,6000000,2 bedroom apartment for sale in Lavington,2.0,1.0,68,2026-05-26,2026-05-26,129.532839,10,,
0124 Bed Apartment with En Suite at Kindaruma Road,19800000,Kilimani,4.0,4.0,240,2026-05-26,2026-05-26,129.532839,10,,
4 Bed Apartment with En Suite at Kindaruma Road4 B,19800000,Kilimani,4.0,4.0,240,2026-05-26,2026-05-26,129.532839,10,,
0123 Bed Apartment with Swimming Pool at Kindaruma,17900000,Kilimani,3.0,3.0,200,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with Swimming Pool at Kindaruma,10500000,Kilimani,2.0,2.0,117,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with Swimming Pool at Nyeri Rd2,11000000,Kileleshwa,2.0,2.0,130,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with En Suite at Lavington2 Bed,15600000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Lavington2 Bed Ap,15600000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Nyeri Rd1,9000000,Kileleshwa,1.0,1.0,90,2026-05-26,2026-05-26,129.532839,10,,
0183 Bed Apartment with En Suite at Mbaazi Road3 B,13600000,Lavington,3.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with En Suite at Mbaazi Road3 Bed ,13600000,Lavington,3.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0142 Bed Apartment with En Suite at Lavington2 Bed,14560000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with Swimming Pool at Mbaazi Ro,10600000,Lavington,2.0,2.0,85,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Mbaazi Ro,6000000,Lavington,1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool at Wood Aven,6000000,Kilimani,1.0,1.0,51,2026-05-26,2026-05-26,129.532839,10,,
0112 Bed Apartment with En Suite at Lavington2 Bed,13950000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with Swimming Pool at Upper Hil,10900000,Kilimani,2.0,2.0,113,2026-05-26,2026-05-26,129.532839,10,,
0121 Bed Apartment with Swimming Pool at Upper Hil,6900000,Kilimani,1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
082 Bed Apartment with En Suite at Lavington2 Bed ,14500000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Mombasa Road2 Bed,8000000,Nairobi,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with En Suite at Lavington3 Bed Ap,27000000,Lavington,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
020Serviced 2 Bed Apartment with Swimming Pool at ,11000000,"Westlands Area, Westlands",2.0,2.0,103,2026-05-26,2026-05-26,129.532839,10,,
Serviced 2 Bed Apartment with Swimming Pool at Spo,11000000,"Westlands Area, Westlands",2.0,2.0,103,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Westlands,12150000,"Westlands Area, Westlands",2.0,2.0,90,2026-05-26,2026-05-26,129.532839,10,,
020Serviced 1 Bed Apartment with Swimming Pool at ,7600000,"Westlands Area, Westlands",1.0,1.0,67,2026-05-26,2026-05-26,129.532839,10,,
Serviced 1 Bed Apartment with Swimming Pool at Spo,7600000,"Westlands Area, Westlands",1.0,1.0,67,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Westlands,8800000,"Westlands Area, Westlands",1.0,1.0,69,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with En Suite in Brookside1 Bed,5000000,"Brookside, Westlands",1.0,1.0,88,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Kindaruma,6100000,Kilimani,1.0,1.0,66,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite at Durham Road2 B,9500000,Kileleshwa,2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite at Off Nyangumi R,15000000,Kilimani,2.0,2.0,95,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Off Nyangumi Rd2 ,15000000,Kilimani,2.0,2.0,95,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Off Nyang,9450000,Kilimani,1.0,1.0,59,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Vihiga Ro,11200000,Kileleshwa,2.0,2.0,119,2026-05-26,2026-05-26,129.532839,10,,
0191 Bed Apartment with Swimming Pool at Vihiga Ro,10400000,Kileleshwa,1.0,1.0,110,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Off Wood ,6500000,Kilimani,1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Off Wood Ave,6500000,Kilimani,1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
0182 Bed Apartment with En Suite at Off Wood Avenu,9500000,Kilimani,2.0,2.0,92,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Off Wood Avenue2 ,9500000,Kilimani,2.0,2.0,92,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with En Suite at Muguga Green1 ,9500000,"Westlands Area, Westlands",1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
0195 Bed Apartment with En Suite at General Mathen,75000000,"Westlands Area, Westlands",5.0,5.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Muguga Green1 Bed,9500000,"Westlands Area, Westlands",1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
0104 Bed Apartment with En Suite in Westlands Area,18000000,"Westlands Area, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite in Ngong Road1 Bed A,5600000,Ngong Road,1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with Swimming Pool at Muthithi ,13000000,"Westlands Area, Westlands",2.0,2.0,108,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Muthangar,14000000,"Westlands Area, Westlands",1.0,1.0,94,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Off Nyang,9400000,Kilimani,1.0,1.0,59,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at General M,8100000,"Westlands Area, Westlands",1.0,1.0,64,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with En Suite in Lavington1 Bed,4500000,Lavington,1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
1153 Bed Apartment with En Suite in Westlands Area,29500000,"Westlands Area, Westlands",3.0,4.0,200,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Durham Ro,9500000,Kileleshwa,2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with En Suite at Kindaruma Road,10700000,Kilimani,1.0,1.0,112,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Kindaruma Road1 B,10700000,Kilimani,1.0,1.0,112,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool at Kindaruma,8000000,Kilimani,1.0,1.0,84,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with Swimming Pool at General M,8300000,"Westlands Area, Westlands",1.0,1.0,66,2026-05-26,2026-05-26,129.532839,10,,
091 Bed Apartment with Swimming Pool at Raphta Roa,7900000,"Westlands Area, Westlands",1.0,1.0,75,2026-05-26,2026-05-26,129.532839,10,,
082 Bed Apartment with Swimming Pool at Spring Val,13200000,"Westlands Area, Westlands",2.0,2.0,111,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Spring Valle,13200000,"Westlands Area, Westlands",2.0,2.0,111,2026-05-26,2026-05-26,129.532839,10,,
0144 Bed Apartment with En Suite in Ngong Road4 Be,26500000,"Executive Penthouse for Sale Off Ngong Road, Na...",4.0,5.0,259,2026-05-26,2026-05-26,129.532839,10,,
4 Bed Apartment with En Suite in Ngong Road4 Bed A,26500000,"Executive Penthouse for Sale Off Ngong Road, Na...",4.0,5.0,259,2026-05-26,2026-05-26,129.532839,10,,
0142 Bed Apartment with En Suite in Ngong Road2 Be,10300000,Ngong Road,2.0,3.0,103,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite in Ngong Road2 Bed A,10300000,Ngong Road,2.0,3.0,103,2026-05-26,2026-05-26,129.532839,10,,
0141 Bed Apartment with En Suite in Ngong Road1 Be,5600000,Ngong Road,1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
084 Bed Apartment with En Suite in Westlands Area4,18000000,"Westlands Area, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite at Mombasa Road2 ,8000000,Nairobi,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Muthithi ,10500000,Kileleshwa,3.0,3.0,78,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with En Suite at Kileleshwa Are,9500000,2 bedroom apartment for sale in Kileleshwa,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
Studio Apartment with En Suite in Kiambu RoadStudi,2200000,Nairobi,,1.0,23,2026-05-26,2026-05-26,129.532839,10,,
010Serviced 2 Bed Apartment with En Suite in Westl,11000000,"Westlands Area, Westlands",2.0,2.0,104,2026-05-26,2026-05-26,129.532839,10,,
020Serviced 1 Bed Apartment with En Suite in Westl,7600000,"Westlands Area, Westlands",1.0,1.0,73,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with Swimming Pool at Mvuli Roa,8000000,"Westlands Area, Westlands",1.0,1.0,80,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with En Suite at Mvuli Road1 Be,6200000,"Westlands Area, Westlands",1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Mvuli Road1 Bed A,6200000,"Westlands Area, Westlands",1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Muthithi ,13500000,"Westlands Area, Westlands",2.0,2.0,108,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool at Muthithi ,9000000,"Westlands Area, Westlands",1.0,1.0,78,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with Swimming Pool at Riara Rd1,6100000,🌇 Modern Apartments for Sale in Lavington – Fr...,1.0,1.0,42,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Riara Rd1 Be,6100000,🌇 Modern Apartments for Sale in Lavington – Fr...,1.0,1.0,42,2026-05-26,2026-05-26,129.532839,10,,
016Studio Apartment with Swimming Pool at Riara Rd,6000000,🌇 Modern Apartments for Sale in Lavington – Fr...,,1.0,41,2026-05-26,2026-05-26,129.532839,10,,
Studio Apartment with Swimming Pool at Riara RdStu,6000000,🌇 Modern Apartments for Sale in Lavington – Fr...,,1.0,41,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Mtito And,3000000,1 bedroom apartment for sale in Kilimani,1.0,1.0,53,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Mtito Andei1,5900000,🌿 Modern Apartments for Sale in Kilimani – Fro...,1.0,1.0,53,2026-05-26,2026-05-26,129.532839,10,,
0102 Bed Apartment with En Suite at Westlands Area,8800000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0101 Bed Apartment with En Suite at Westlands Area,8500000,2 bedroom apartment for sale in Westlands,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at General Mathen,24000000,"Westlands Area, Westlands",2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at General Mathenge ,24000000,"Westlands Area, Westlands",2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with En Suite at Lavington3 Bed,27000000,Lavington,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
017Studio Apartment with En Suite in Kiambu RoadSt,2200000,Nairobi,,1.0,23,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Kileleshwa Are,8800000,2 bedroom apartment for sale in Kileleshwa,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite in Kiambu Road1 Bed ,5500000,Nairobi,1.0,2.0,55,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite in Kiambu Road2 Bed ,5100000,Nairobi,2.0,2.0,60,2026-05-26,2026-05-26,129.532839,10,,
0112 Bed Apartment with En Suite at Kileleshwa Are,8960000,2 bedroom apartment for sale in Kileleshwa,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Kileleshwa2 Be,8500000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Kileleshwa2 Bed A,8500000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0143 Bed Apartment with Swimming Pool at Riara Rd3,13500000,Lavington,3.0,3.0,120,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with Swimming Pool at Riara Rd3 Be,13500000,Lavington,3.0,3.0,120,2026-05-26,2026-05-26,129.532839,10,,
09Studio Apartment with En Suite in Westlands Area,6328506,Studio Apartment with En Suite in Westlands Area,,1.0,40,2026-05-26,2026-05-26,129.532839,10,,
0142 Bed Apartment with Swimming Pool at Riara Rd2,9500000,Lavington,2.0,2.0,84,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Riara Rd2 Be,9500000,Lavington,2.0,2.0,84,2026-05-26,2026-05-26,129.532839,10,,
0141 Bed Apartment with En Suite at Riara Rd1 Bed ,5500000,Lavington,1.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Riara Rd1 Bed Apa,5500000,Lavington,1.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
0192 Bed Apartment with Swimming Pool at Westlands,14150000,"2 bedroom apartment for sale in Westlands, Nair...",2.0,2.0,106,2026-05-26,2026-05-26,129.532839,10,,
0141 Bed Apartment with Swimming Pool at Westlands,9100000,"1 bedroom apartment for sale in Westlands, Nair...",1.0,1.0,56,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with Swimming Pool at Westlands,8700000,"Westlands Area, Westlands",1.0,1.0,68,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment with Swimming Pool at Wood Aven,10950000,Kilimani,2.0,2.0,91,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Wood Avenue2,10950000,Kilimani,2.0,2.0,91,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with Swimming Pool at Wood Aven,7100000,Kilimani,1.0,1.0,59,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with Swimming Pool at Ngong Rd1,6000000,Kilimani,1.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
091 Bed Apartment with Swimming Pool at Ngong Rd1 ,5500000,Kilimani,1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with En Suite in Kiambu Road2 B,5100000,Nairobi,2.0,2.0,60,2026-05-26,2026-05-26,129.532839,10,,
0171 Bed Apartment with En Suite in Kiambu Road1 B,5500000,Nairobi,1.0,2.0,55,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment with Swimming Pool at Riverside,15800000,"Riverside, Westlands",2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
092 Bed Apartment with En Suite at Lavington2 Bed ,13500000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Riara Roa,11200000,2 bedroom apartment for sale in Lavington,2.0,2.0,104,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Githungur,6500000,Kileleshwa,1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with Swimming Pool at Mogotio R,12500000,"Westlands Area, Westlands",2.0,2.0,95,2026-05-26,2026-05-26,129.532839,10,,
