Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date,Date,USD_KES_Rate,CBR_Rate,Remittance_M_USD,CPI_Index
013Serviced 2 Bed Apartment with En Suite at Wood ,8200000,Kilimani,2.0,2.0,92,2026-05-26,2026-05-26,129.532839,10,,
0121 Bed Apartment with Swimming Pool at Westlands,5800000,1 bedroom apartment for sale in Westlands,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool in Kileleshw,5100000,Kileleshwa,1.0,1.0,48,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with En Suite at Sports Road1 B,9000000,"Westlands Area, Westlands",1.0,1.0,67,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Riverside,8300000,"Westlands Area, Westlands",1.0,1.0,62,2026-05-26,2026-05-26,129.532839,10,,
0173 Bed Apartment with En Suite at Jaralam Rd3 Be,19500000,"Westlands Area, Westlands",3.0,3.0,152,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with En Suite at Jaralam Rd3 Bed A,19500000,"Westlands Area, Westlands",3.0,3.0,152,2026-05-26,2026-05-26,129.532839,10,,
0112 Bed Apartment with En Suite at Off Wayaki Roa,10500000,"Westlands Area, Westlands",2.0,2.0,108,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Off Wayaki Road2 ,10500000,"Westlands Area, Westlands",2.0,2.0,108,2026-05-26,2026-05-26,129.532839,10,,
0111 Bed Apartment with En Suite at Off Wayaki Roa,6000000,2 bedroom apartment for sale in Kilimani,2.0,1.0,53,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Off Wayaki Road1 ,6000000,"Westlands Area, Westlands",1.0,1.0,54,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Kingara R,6500000,Lavington,1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with En Suite at Wood Avenue2 B,7600000,Kilimani,2.0,2.0,75,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with En Suite at Wood Avenue1 B,6900000,Kilimani,1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Wood Avenue1 Bed ,6900000,Kilimani,1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with Swimming Pool at Mandera R,7500000,Kileleshwa,1.0,1.0,78,2026-05-26,2026-05-26,129.532839,10,,
04Studio Apartment with En Suite in KileleshwaStud,4900000,Studio Apartment with En Suite in Kileleshwa,,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Riara Roa,10700000,Lavington,1.0,1.0,110,2026-05-26,2026-05-26,129.532839,10,,
07Serviced 1 Bed Apartment with En Suite in Westla,7600000,"Westlands Area, Westlands",1.0,1.0,67,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool at Arwings K,6500000,Lavington,1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
